state,county,fips,year,office,party,candidate,candidatevotes_sum
Alabama,Chilton,01021,2000,President,democrat,Al Gore,4806
Alabama,Chilton,01021,2000,President,republican,George W. Bush,10066
Alabama,Chilton,01021,2004,President,democrat,John Kerry,3778
Alabama,Chilton,01021,2004,President,republican,George W. Bush,12829
Alabama,Chilton,01021,2008,President,democrat,Barack Obama,3674
Alabama,Chilton,01021,2008,President,republican,John McCain,13960
Alabama,Chilton,01021,2012,President,democrat,Barack Obama,3397
Alabama,Chilton,01021,2012,President,republican,Mitt Romney,13932
Alabama,Chilton,01021,2016,President,democrat,Hillary Clinton,2911
Alabama,Chilton,01021,2016,President,republican,Donald Trump,15081
Alabama,Choctaw,01023,2000,President,democrat,Al Gore,3707
Alabama,Choctaw,01023,2000,President,republican,George W. Bush,3600
Alabama,Choctaw,01023,2004,President,democrat,John Kerry,3303
Alabama,Choctaw,01023,2004,President,republican,George W. Bush,3897
Alabama,Choctaw,01023,2008,President,democrat,Barack Obama,3636
Alabama,Choctaw,01023,2008,President,republican,John McCain,4223
Alabama,Choctaw,01023,2012,President,democrat,Barack Obama,3786
Alabama,Choctaw,01023,2012,President,republican,Mitt Romney,4152
Alabama,Choctaw,01023,2016,President,democrat,Hillary Clinton,3109
Alabama,Choctaw,01023,2016,President,republican,Donald Trump,4106
Alabama,Clarke,01025,2000,President,democrat,Al Gore,4679
Alabama,Clarke,01025,2000,President,republican,George W. Bush,5988
Alabama,Clarke,01025,2004,President,democrat,John Kerry,4627
Alabama,Clarke,01025,2004,President,republican,George W. Bush,6730
Alabama,Clarke,01025,2008,President,democrat,Barack Obama,5914
Alabama,Clarke,01025,2008,President,republican,John McCain,7466
Alabama,Clarke,01025,2012,President,democrat,Barack Obama,6334
Alabama,Clarke,01025,2012,President,republican,Mitt Romney,7470
Alabama,Clarke,01025,2016,President,democrat,Hillary Clinton,5749
Alabama,Clarke,01025,2016,President,republican,Donald Trump,7140
Alabama,Clay,01027,2000,President,democrat,Al Gore,2045
Alabama,Clay,01027,2000,President,republican,George W. Bush,3719
Alabama,Clay,01027,2004,President,democrat,John Kerry,1893
Alabama,Clay,01027,2004,President,republican,George W. Bush,4624
Alabama,Clay,01027,2008,President,democrat,Barack Obama,1760
Alabama,Clay,01027,2008,President,republican,John McCain,4984
Alabama,Clay,01027,2012,President,democrat,Barack Obama,1777
Alabama,Clay,01027,2012,President,republican,Mitt Romney,4817
Alabama,Clay,01027,2016,President,democrat,Hillary Clinton,1237
Alabama,Clay,01027,2016,President,republican,Donald Trump,5245
Alabama,Cleburne,01029,2000,President,democrat,Al Gore,1664
Alabama,Cleburne,01029,2000,President,republican,George W. Bush,3333
Alabama,Cleburne,01029,2004,President,democrat,John Kerry,1391
Alabama,Cleburne,01029,2004,President,republican,George W. Bush,4370
Alabama,Cleburne,01029,2008,President,democrat,Barack Obama,1168
Alabama,Cleburne,01029,2008,President,republican,John McCain,5216
Alabama,Cleburne,01029,2012,President,democrat,Barack Obama,971
Alabama,Cleburne,01029,2012,President,republican,Mitt Romney,5272
Alabama,Cleburne,01029,2016,President,democrat,Hillary Clinton,684
Alabama,Cleburne,01029,2016,President,republican,Donald Trump,5764
Alabama,Coffee,01031,2000,President,democrat,Al Gore,5220
Alabama,Coffee,01031,2000,President,republican,George W. Bush,9938
Alabama,Coffee,01031,2004,President,democrat,John Kerry,4480
Alabama,Coffee,01031,2004,President,republican,George W. Bush,13019
Alabama,Coffee,01031,2008,President,democrat,Barack Obama,5079
Alabama,Coffee,01031,2008,President,republican,John McCain,14919
Alabama,Coffee,01031,2012,President,democrat,Barack Obama,4925
Alabama,Coffee,01031,2012,President,republican,Mitt Romney,14666
Alabama,Coffee,01031,2016,President,democrat,Hillary Clinton,4221
Alabama,Coffee,01031,2016,President,republican,Donald Trump,15875
Alabama,Colbert,01033,2000,President,democrat,Al Gore,10543
Alabama,Colbert,01033,2000,President,republican,George W. Bush,10518
Alabama,Colbert,01033,2004,President,democrat,John Kerry,10598
Alabama,Colbert,01033,2004,President,republican,George W. Bush,13188
Alabama,Colbert,01033,2008,President,democrat,Barack Obama,9703
Alabama,Colbert,01033,2008,President,republican,John McCain,14739
Alabama,Colbert,01033,2012,President,democrat,Barack Obama,9166
Alabama,Colbert,01033,2012,President,republican,Mitt Romney,13936
Alabama,Colbert,01033,2016,President,democrat,Hillary Clinton,7312
Alabama,Colbert,01033,2016,President,republican,Donald Trump,16746
Alabama,Conecuh,01035,2000,President,democrat,Al Gore,2783
Alabama,Conecuh,01035,2000,President,republican,George W. Bush,2699
Alabama,Conecuh,01035,2004,President,democrat,John Kerry,2719
Alabama,Conecuh,01035,2004,President,republican,George W. Bush,3271
Alabama,Conecuh,01035,2008,President,democrat,Barack Obama,3429
Alabama,Conecuh,01035,2008,President,republican,John McCain,3470
Alabama,Conecuh,01035,2012,President,democrat,Barack Obama,3555
Alabama,Conecuh,01035,2012,President,republican,Mitt Romney,3439
Alabama,Conecuh,01035,2016,President,democrat,Hillary Clinton,3080
Alabama,Conecuh,01035,2016,President,republican,Donald Trump,3420
Alabama,Coosa,01037,2000,President,democrat,Al Gore,2104
Alabama,Coosa,01037,2000,President,republican,George W. Bush,2382
Alabama,Coosa,01037,2004,President,democrat,John Kerry,2055
Alabama,Coosa,01037,2004,President,republican,George W. Bush,2905
Alabama,Coosa,01037,2008,President,democrat,Barack Obama,2273
Alabama,Coosa,01037,2008,President,republican,John McCain,3248
Alabama,Coosa,01037,2012,President,democrat,Barack Obama,2191
Alabama,Coosa,01037,2012,President,republican,Mitt Romney,3049
Alabama,Coosa,01037,2016,President,democrat,Hillary Clinton,1782
Alabama,Coosa,01037,2016,President,republican,Donald Trump,3381
Alabama,Covington,01039,2000,President,democrat,Al Gore,4440
Alabama,Covington,01039,2000,President,republican,George W. Bush,8961
Alabama,Covington,01039,2004,President,democrat,John Kerry,3423
Alabama,Covington,01039,2004,President,republican,George W. Bush,11119
Alabama,Covington,01039,2008,President,democrat,Barack Obama,3240
Alabama,Covington,01039,2008,President,republican,John McCain,12444
Alabama,Covington,01039,2012,President,democrat,Barack Obama,3158
Alabama,Covington,01039,2012,President,republican,Mitt Romney,12153
Alabama,Covington,01039,2016,President,democrat,Hillary Clinton,2387
Alabama,Covington,01039,2016,President,republican,Donald Trump,13267
Alabama,Crenshaw,01041,2000,President,democrat,Al Gore,1934
Alabama,Crenshaw,01041,2000,President,republican,George W. Bush,2793
Alabama,Crenshaw,01041,2004,President,democrat,John Kerry,1698
Alabama,Crenshaw,01041,2004,President,republican,George W. Bush,3777
Alabama,Crenshaw,01041,2008,President,democrat,Barack Obama,1938
Alabama,Crenshaw,01041,2008,President,republican,John McCain,4319
Alabama,Crenshaw,01041,2012,President,democrat,Barack Obama,2050
Alabama,Crenshaw,01041,2012,President,republican,Mitt Romney,4331
Alabama,Crenshaw,01041,2016,President,democrat,Hillary Clinton,1664
Alabama,Crenshaw,01041,2016,President,republican,Donald Trump,4513
Alabama,Cullman,01043,2000,President,democrat,Al Gore,9758
Alabama,Cullman,01043,2000,President,republican,George W. Bush,19157
Alabama,Cullman,01043,2004,President,democrat,John Kerry,8045
Alabama,Cullman,01043,2004,President,republican,George W. Bush,26818
Alabama,Cullman,01043,2008,President,democrat,Barack Obama,5864
Alabama,Cullman,01043,2008,President,republican,John McCain,28896
Alabama,Cullman,01043,2012,President,democrat,Barack Obama,5052
Alabama,Cullman,01043,2012,President,republican,Mitt Romney,28999
Alabama,Cullman,01043,2016,President,democrat,Hillary Clinton,3798
