year,state,county,fips,candidatevotes_sum_democrat,candidatevotes_sum_republican,pct_vote_democrat,pct_vote_republican,dem_margin_pct,dem_margin_votes,shift_pct,shift_votes
2016,Pennsylvania,Adams,42001,14219,31423,0.31153323693089696,0.688466763069103,-0.3769335261382061,-17204,-0.0979904328227108,-5528
2016,Pennsylvania,Allegheny,42003,367617,259480,0.5862203136037966,0.41377968639620344,0.17244062720759312,108137,0.024979807265049614,17489
2016,Pennsylvania,Armstrong,42005,7178,23484,0.23410084143239188,0.7658991585676082,-0.5317983171352163,-16306,-0.15159480187157154,-5209
2016,Pennsylvania,Beaver,42007,32531,48167,0.4031202755954299,0.5968797244045702,-0.19375944880914026,-15636,-0.12714651917526582,-10347
2016,Pennsylvania,Bedford,42009,3645,19552,0.15713238780876837,0.8428676121912316,-0.6857352243824633,-15907,-0.13133783024565537,-3993
2016,Pennsylvania,Berks,42011,78437,96626,0.44805013052443976,0.5519498694755602,-0.10389973895112048,-18189,-0.09381703814677023,-16498
2016,Pennsylvania,Blair,42013,13958,39135,0.2628971804192643,0.7371028195807356,-0.47420563916147135,-25177,-0.13056212671061945,-8134
2016,Pennsylvania,Bradford,42015,6369,18141,0.2598531211750306,0.7401468788249694,-0.4802937576499388,-11772,-0.22909987035289964,-5986
2016,Pennsylvania,Bucks,42017,167060,164361,0.504071860262325,0.495928139737675,0.008143720524649956,2699,-0.004287689125302752,-1243
2016,Pennsylvania,Butler,42019,28584,64428,0.30731518513740164,0.6926848148625984,-0.3853696297251967,-35844,-0.03194819864639564,-4633
2016,Pennsylvania,Cambria,42021,18867,42258,0.30866257668711655,0.6913374233128834,-0.38267484662576684,-23391,-0.1989745840525493,-12477
2016,Pennsylvania,Cameron,42023,531,1589,0.2504716981132076,0.7495283018867924,-0.49905660377358485,-1058,-0.19420782796945618,-423
2016,Pennsylvania,Carbon,42025,8936,18743,0.3228440333827089,0.677155966617291,-0.35431193323458215,-9807,-0.277609652896518,-7883
2016,Pennsylvania,Centre,42027,37088,35274,0.512534203034742,0.487465796965258,0.02506840606948396,1814,0.022501558012221257,1639
2016,Pennsylvania,Chester,42029,141682,116114,0.5495895979766947,0.45041040202330523,0.09917919595338948,25568,0.10130240637598464,26097
2016,Pennsylvania,Clarion,42031,4273,12576,0.25360555522582945,0.7463944447741706,-0.49278888954834116,-8303,-0.12940435164856784,-2531
2016,Pennsylvania,Clearfield,42033,8200,24932,0.24749486900881323,0.7525051309911868,-0.5050102619823735,-16732,-0.21182353260649966,-7506
2016,Pennsylvania,Clinton,42035,4744,10022,0.32127861302993366,0.6787213869700663,-0.3574427739401327,-5278,-0.23709300021918467,-3709
2016,Pennsylvania,Columbia,42037,8934,18004,0.33165045660405373,0.6683495433959462,-0.3366990867918925,-9070,-0.20564597433012788,-5771
2016,Pennsylvania,Crawford,42039,10971,24987,0.3051059569497747,0.6948940430502253,-0.38978808610045057,-14016,-0.18802865647763545,-6998
2016,Pennsylvania,Cumberland,42041,47085,69076,0.40534258486066754,0.5946574151393325,-0.18931483027866491,-21991,-0.002075876662485543,-1549
2016,Pennsylvania,Dauphin,42043,64706,60863,0.515302343731335,0.484697656268665,0.030604687462669977,3843,-0.030784848133457998,-3672
2016,Pennsylvania,Delaware,42045,177402,110667,0.6158316236734949,0.38416837632650513,0.23166324734698973,66735,0.01606063629779375,5796
2016,Pennsylvania,Elk,42047,3853,10025,0.27763366479319784,0.7223663352068022,-0.4447326704136043,-6172,-0.2824876159741012,-4056
2016,Pennsylvania,Erie,42049,58112,60069,0.4917203272945736,0.5082796727054264,-0.0165593454108528,-1957,-0.17896185350492338,-20968
2016,Pennsylvania,Fayette,42051,17946,34590,0.34159433531292827,0.6584056646870717,-0.31681132937414347,-16644,-0.23247950333067519,-12597
2016,Pennsylvania,Forest,42053,626,1683,0.2711130359462971,0.7288869640537029,-0.4577739281074058,-1057,-0.244083713100824,-570
2016,Pennsylvania,Franklin,42055,17465,49768,0.25976826855859475,0.7402317314414053,-0.48046346288281055,-32303,-0.09069557275350365,-8038
2016,Pennsylvania,Fulton,42057,912,5694,0.13805631244323344,0.8619436875567665,-0.7238873751135331,-4782,-0.1517123261259432,-1278
2016,Pennsylvania,Greene,42059,4482,10849,0.29234883569238795,0.707651164307612,-0.41530232861522404,-6367,-0.2349101717524789,-3791
2016,Pennsylvania,Huntingdon,42061,4539,14494,0.23848053380969894,0.7615194661903011,-0.5230389323806022,-9955,-0.145192141490333,-3385
2016,Pennsylvania,Indiana,42063,11528,24888,0.3165641476274165,0.6834358523725835,-0.366871704745167,-13360,-0.17700324686663355,-6576
2016,Pennsylvania,Jefferson,42065,3650,15192,0.19371616601210062,0.8062838339878994,-0.6125676679757988,-11542,-0.1493773119343073,-3281
2016,Pennsylvania,Juniata,42067,1821,8273,0.18040420051515751,0.8195957994848425,-0.639191598969685,-6452,-0.1805881342019095,-2137
2016,Pennsylvania,Lackawanna,42069,51983,48384,0.5179291998365997,0.4820708001634003,0.03585839967319937,3599,-0.240164835265876,-23154
2016,Pennsylvania,Lancaster,42071,91093,137914,0.39777386717436586,0.6022261328256342,-0.20445226565126834,-46821,-0.011944850638719806,-4633
2016,Pennsylvania,Lawrence,42073,14009,25428,0.3552247889038213,0.6447752110961787,-0.28955042219235744,-11419,-0.1979010445989965,-7885
2016,Pennsylvania,Lebanon,42075,18953,40525,0.31865563737852654,0.6813443626214735,-0.36268872524294693,-21572,-0.07630846274563646,-5600
